position,Y,U,V
0,62,120,138
1,62,120,138
2,62,120,139
3,61,120,139
4,61,120,139
5,60,120,139
6,60,120,137
7,61,120,137
8,61,120,137
9,62,120,137
10,62,120,138
11,62,120,138
12,64,122,137
13,66,122,137
14,73,131,133
15,76,131,133
16,90,137,126
17,100,137,126
18,111,136,127
19,117,136,127
20,123,136,128
21,125,136,128
22,124,136,128
23,125,136,128
24,127,138,128
25,129,138,128
26,130,137,128
27,130,137,128
28,131,137,128
29,131,137,128
30,131,138,128
31,131,138,128
32,131,138,128
33,131,138,128
34,131,138,128
35,130,138,128
36,126,139,128
37,123,139,128
38,122,139,128
39,123,139,128
40,122,137,128
41,123,137,128
42,124,136,128
43,122,136,128
44,120,138,129
45,123,138,129
46,127,139,129
47,129,139,129
48,130,137,129
49,128,137,129
50,127,137,129
51,126,137,129
52,125,136,129
53,124,136,129
54,123,136,129
55,123,136,129
56,123,137,128
57,122,137,128
58,122,138,128
59,122,138,128
60,122,138,128
61,125,138,128
62,126,138,128
63,126,138,128
64,124,136,128
65,123,136,128
66,120,134,128
67,120,134,128
68,119,133,128
69,122,133,128
70,124,133,127
71,127,133,127
72,128,139,127
73,129,139,127
74,129,140,127
75,129,140,127
76,129,140,127
77,129,140,127
78,128,140,127
79,128,140,127
80,128,139,127
81,128,139,127
82,128,139,127
83,128,139,127
84,127,137,128
85,124,137,128
86,123,134,128
87,118,134,128
88,109,131,126
89,92,131,126
90,85,120,117
91,79,120,117
92,79,114,113
93,80,114,113
94,80,114,113
95,79,114,113
96,78,112,113
97,78,112,113
98,78,113,113
99,79,113,113
100,78,113,113
101,77,113,113
102,78,113,114
103,77,113,114
104,77,113,115
105,77,113,115
106,75,115,120
107,77,115,120
108,77,115,133
109,78,115,133
110,79,116,141
111,78,116,141
112,78,116,142
113,78,116,142
114,78,116,143
115,79,116,143
116,79,116,143
117,79,116,143
118,79,116,143
119,78,116,143
120,78,116,143
121,78,116,143
122,78,116,143
123,77,116,143
124,77,115,144
125,77,115,144
126,77,115,144
127,78,115,144
128,78,115,144
129,78,115,144
130,78,116,144
131,78,116,144
132,78,116,144
133,78,116,144
134,78,114,144
135,77,114,144
136,77,114,145
137,78,114,145
138,78,115,144
139,74,115,144
140,72,117,144
141,64,117,144
142,62,117,142
143,59,117,142
144,58,117,140
145,58,117,140
146,58,119,140
147,62,119,140
148,65,121,140
149,67,121,140
150,67,119,141
151,67,119,141
152,68,118,142
153,72,118,142
154,76,116,144
155,80,116,144
156,83,114,143
157,85,114,143
158,88,115,142
159,91,115,142
160,92,121,141
161,94,121,141
162,93,121,141
163,93,121,141
164,93,121,141
165,93,121,141
166,93,120,141
167,92,120,141
168,92,119,141
169,91,119,141
170,91,119,142
171,89,119,142
172,89,118,143
173,89,118,143
174,87,117,143
175,84,117,143
176,81,117,143
177,80,117,143
178,79,117,143
179,79,117,143
180,76,116,144
181,72,116,144
182,68,118,143
183,68,118,143
184,68,121,143
185,69,121,143
186,70,122,143
187,67,122,143
188,65,120,142
189,66,120,142
190,65,118,142
191,65,118,142
192,65,117,143
193,66,117,143
194,70,116,143
195,72,116,143
196,78,117,142
197,80,117,142
198,81,117,142
199,81,117,142
200,82,117,143
201,86,117,143
202,88,117,143
203,88,117,143
204,88,116,143
205,88,116,143
206,86,116,143
207,87,116,143
208,87,116,144
209,87,116,144
210,88,116,143
211,89,116,143
212,87,115,143
213,86,115,143
214,85,116,143
215,85,116,143
216,84,117,143
217,84,117,143
218,82,116,144
219,81,116,144
220,81,114,145
221,79,114,145
222,79,113,145
223,78,113,145
224,77,112,146
225,78,112,146
226,78,112,146
227,78,112,146
228,78,111,146
229,78,111,146
230,78,111,146
231,77,111,146
232,77,117,145
233,77,117,145
234,78,116,145
235,77,116,145
236,78,114,145
237,78,114,145
238,78,114,145
239,80,114,145
240,82,115,144
241,87,115,144
242,88,115,143
243,88,115,143
244,88,116,144
245,88,116,144
246,89,117,144
247,88,117,144
248,88,117,144
249,88,117,144
250,89,117,144
